高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
五彩世界生活广场	邗江京华城路与国展路交汇处东北角查看地图	119.3813650,32.3844370
富兴领寓	武清广贤路东侧查看地图	117.0797770,39.3316210
利锦府府上	东五环七棵树出口沿东坝中街向东1500米,红松园北里18号院	116.5486070,39.9667540
恒大海口湾	杜鹃路与海棠路的交界处,海棠路3号	110.2967900,20.0316400
南山豪苑	广东省东莞市厚街镇南山豪苑	113.6717680,22.9105960
建发领郡	国优路西侧（青塘新区）	119.5329810,26.2083880
金基观岛	千岛湖青溪新城（千岛湖景观大道沿线）	119.1423560,29.6106890
崖州湾一号	海南三亚崖城区创意新城区2号6号路核心位置	109.1586430,18.3283870
首创禧悦春城	盘龙区二十四城装饰昆明湖社区服务部北	102.7610220,25.1292220
龙惠华御园	东新大道107号	114.5638190,23.1233300
正馨佳居	新北路以西（新河新区旁）	117.6278140,39.0410510
西永9号	陈家桥轻轨站旁	106.3327590,29.6150210
碧桂园-豪园【封开】	封开县政府北侧，临人民公园	111.5123430,23.4240330
德庆名邸	金沙街道大庆路99号	121.0730460,32.0773640
水尚嘉苑	联盟路与泰华街交叉口北行50米路西	114.4630460,38.0788720
保利天悦	高攀路89号	104.0823290,30.6187970
余之城	新城迎宾路临东路交界处东南角	120.3044430,30.3943450
剑桥鑫天地	孝南北京路延长线与长兴二路交汇处查看地图	114.2953360,30.5852140
惠济名邸	天河路与新城路交叉口东100米(惠济政府北门对面)	113.6175190,34.8715320
尚林幸福城	青白江同华大道以北、凤凰路以西（凤凰湖旁边）	104.2767860,30.8865820
保亿青晨	余杭杭海路1号线翁梅路地铁站往北300米	120.2976770,30.3684590
榕心映月	金洲路榕心映月	119.2626060,26.0435290
金地格林泊乐花园	广东省珠海市斗门区虹桥三路1号	113.3348990,22.2016740
宝鼎世嘉	东二环与槐安路交叉口西南角	114.4730610,38.0248860
王府花园	新街口王府大街	118.7803340,32.0403930
凯悦华庭	电子正街88号	108.9190390,34.2061840
瀚德-IBC汇智广场	五象新区总部基地飞云路9号查看地图	108.3827230,22.7621450
凤岭山庄	高淳高淳区康乐路	118.8951160,31.3299530
中南九龙澜邸	黄山路中南九龙澜邸	121.4680160,31.2660340
领寓豪庭	兴华东街和规划九路	108.9511320,34.3522920
鹭湖宫7区	国色天乡国际度假区	103.8269390,30.7224600
长房-上层国际	岳塘湘潭市岳塘区双拥北路208号（三桥南东侧）查看地图	112.8533070,28.0776910
新泾北苑	长宁-虹桥机场-仙霞西路888弄	121.3563020,31.1830370
汇和紫熙园	洪兴巷2号	102.6721490,25.0632930
万科高尔夫熙岸	马池路万科高尔夫熙岸	114.2128830,30.6507000
恒禾皇冠国际社区	北泉路1018号（书房村旁）	104.2445790,30.5707620
招商奥体公园	合肥市新站区卧龙湖路与东方大道交叉路口往西南约50米(东方家园南侧约200米)	117.3590810,31.9487170
鑫城国际	六合宁六公路与葛关路交汇处（扬子宾馆对面）	118.7515940,32.2393860
首铸御峰华庭	梅园路9号	113.7950920,22.8160020
运河文化城-188	北辰道龙洲道188号	117.1035380,39.2051830
华润琨瑜府	南十三路1甲号	123.3492700,41.7802880
光明海上海	北关大街与垛山路交汇处南400米	121.5518470,37.3969270
东海定南山	渝南大道115号	106.5552200,29.4341190
鸿鑫公馆	上塘镇勤奋路（永嘉县城关中学北面）	0.0000000,0.0000000
蔚蓝比华利	庐山大道999号	116.0678890,29.6864890
九颂山河锦园	庐泉路8号	115.9076370,29.5984670
万晟新阳光	卡伦老街2899-72号	125.5391000,44.0209570
上和郡	石家街东园西路11号	108.9898190,34.2953990
中海凤凰熙岸观园	天宁区中吴大道与凤凰路交汇处（蔷薇园东侧）	119.9857120,31.7491340
华安国际田园风光	经济开发区沈海（同三）高速与中古路交界处	120.8310780,37.2988620
承翰珀尔世家	环侨路承翰珀尔世家	114.3039690,23.0287790
旭源瑞景轩	龙岗区龙岗街道南联植物园路东面（龙新派出所南侧，南联学校北侧）	114.2682430,22.7095100
湘水一城	雨花韶山南路1号	112.9999200,28.1458000
上林华府	龙门县龙城街道青溪村竹园厦村大围“螺田”	114.2899330,23.7000890
长沙院子	浔龙河生态艺术小镇黄兴大道与田汉大道交汇处	113.1910080,28.3478790
恒大绿洲	五象大道333号	108.3417430,22.7574310
宝龙庄园	周村正阳路与机场路交叉口东800m	117.8676760,36.8108110
三盛-滨江悦	闽侯荆溪镇洪甘路桐口村段北侧查看地图	119.2263840,26.1137460
交通晓时代	江干建华路与五号港路交叉口	120.2435730,30.3010520
丰润嘉园	丰利镇文园路1号（新丰利小学对面）	121.0478610,32.4439930
枫韵润园	向东200米（未央大道沿线）	108.9488480,34.2927040
金隅满堂	万卉路金隅满堂	117.0927080,39.1191310
泉天下国际公馆	乌当新添大道197号	106.7749740,26.6377260
香域水岸	龙湖金砂东路金津桥路段北侧	116.7290840,23.3668710
千渭尚品	陈仓区千渭东和平街24号	107.3647550,34.3614470
保华铂郡	惠州市惠城区惠南大道与体育南路交汇处	114.4337780,23.0210880
合豪状元公馆	联榕路173号	119.1723700,26.0752540
洺悦芳华	大学城U城天街树人小学旁	106.2872260,29.6021740
九洲花园缇香郡	恐龙园北侧，西临常澄路、南依沪宁高速	120.0808360,31.7858380
澄星广场	花山路105号	120.2776310,31.8951660
龙城首府	龙安大道与金川大道交汇处	106.0888880,29.8271500
金融街-金悦郡	龙腾路与富饶道交汇处东行500米路南	116.3350450,40.0756350
碧桂园天汇	怒江北街辉山西路西行200米	123.4129020,41.8824620
莱阳国际公馆	蚬河南路与富山路交汇处	120.7258517,36.9575654
名筑金地	青岛市胶州市泰州路217号（胶州西路以南）	119.9823500,36.2840400
融创时代中心公寓	港闸区北大街与港盛路交汇处	120.8601900,32.0574600
锦悦华庭	水巷子与簇桥中街交叉口南50米	103.9989260,30.6019470
圣海山庄	刘公岛路81号	120.2236150,36.0484500
仁和景苑	兴仁镇富兴路东侧(虹波风电北侧)	121.1835670,32.1938380
枫林华府	科技路与团结南路十字向北500米路西	108.8789970,34.2476180
德信麓湖云庄	麓湖里·锦江畔	104.0821200,30.6020830
武岭悦府	新城东路武岭悦府	121.3039250,29.6863810
泓润新城华府	甪直镇鸣市路35号	120.8571600,31.2655550
九龙仓时代上城	剑南大道与牧华路交汇处	104.0243540,30.4874610
博仕后悦府	新保路10号	119.2163400,26.0150000
万兴凤凰广场	东关路与县后路交汇处（人民医院南侧）	121.5740860,37.3929610
渝能长悦府	长生桥政府对面	106.6696140,29.4984960
万和凤凰城C区	青峰街66号	103.5731230,30.8465450
汉港凯旋城	黄家湖西路888号	115.8176580,28.7176760
葵花里	常平镇木伦管理区天鹅湖路	113.9938930,22.9828430
太仓珑悦兰庭	凤林路26-16号附近	121.4598320,31.1917610
星悦江湾	西港路87号	116.6684660,23.3725690
怡景华府	美平西路261号	113.1769050,22.0960630
璟樾云山	重庆·茶园南·金鹿大道	106.6255380,29.4703390
西班牙风情街	青龙街道办事处新华路和建设路之间	106.4645850,26.5464820
丰源官邸	未来大道与商城路交汇处东北角	113.7016580,34.7511190
花样年锦上花	南湖风景区天和路与五间房道交口（南湖2号门前200米）	117.1142060,39.3414210
华润置地万象云玺	和平南京街与长白北路交汇处	123.3969660,41.7473770
新城市学府	小北路洪桥街25号	113.2695360,23.1334170
方兴黄龙金茂悦	益乐路和余杭塘路交叉口	120.1133220,30.2936280
左岸景林	唐通路与邱柳路交叉口处西行100米	118.0540930,39.6278370
雷明锦程	沈北路23号	123.3984210,41.9203490
香山里	位于侨香路南侧	114.0309250,22.5534990
公元景粼公馆	黄岛区唐岛湾路北侧、东风路东侧	119.9903380,35.8852800
长乐海峡建材家居城	长乐市鹤上镇福北路往江田方向800米	119.5319560,25.9311290
宝能滨江府	燕春路宝能金融中心	118.8253160,32.1296330
珠江花城	东圃岐山183号	113.4411990,23.1301630
碧桂园翡翠世家	来游路21号	107.0779190,29.1632570
硅谷印象	硅谷副街与阜育西街交会	125.1824830,43.7438630
绿都鉴未来	杭泰路与中泰路交汇处	119.9263230,30.2371310
中正SOHO	(长安镇)长安东门中路200号	113.8129830,22.8111500
紫晶南园	广南路666弄	121.4601590,31.0378100
力高凤凰新天	丰和北大道366号	115.8815536,28.7128220
中交美墅花园	南三路与开泰路交口	117.3086520,39.7127590
阳光城翡丽湾	城东路1999号	120.4555250,31.9163080
宁波龙湖九里晴川	龙山新城天叙路与观蜃路交叉口	121.5693670,30.1183400
鸿祥-钰珑府	荥阳市中原路与飞龙路交叉口向北200米路西	113.4353770,34.7772500
华源国际城	瑶海-曙光影院-和平路110号	117.3333430,31.8546520
北岸中心	光荣道与咸阳北路交口	117.1414020,39.1800690
湖山美寓	泗张镇万紫千红生态养生旅游区旁	117.4102370,35.4934300
通达汇轩	龙华街道龙观东路与玉翠路东北侧	114.0300760,22.6719170
永利荟	诸暨市二环东路高沙湖公园	120.6278390,29.9865990
领域	庐阳区颍上路与临泉路交汇处	117.2717400,31.8868320
罗马名城	新安街道新东北路18	118.3688600,34.3773750
瑞居绿岛	赵镇滨江路一段475号（金堂县政府往南一公里）	104.4198670,30.8520890
塑和公园华府	人民北路3011号	114.1198470,22.5512920
国贸远洋天和	东山路128号	118.1494940,24.7475000
海淀嘉郡	海淀上庄镇上庄路与沙阳路交汇处向北700米处	116.2122350,40.1228530
保利罗兰香谷	天都路与天丰路交叉口	120.2369760,30.3728070
明湖天地	经一路（明湖东路段）南侧	117.0354590,36.6800290
江湾1号	赣州火车站赣江源大道南侧	114.9465280,25.8258020
天一仁和珑樾尚璟	湘潭路15号	120.4172250,36.2279310
红豆香江华庭	永欣大道与永欣南路交汇处东南侧华街坊旁	118.8697980,31.7687190
国瑞爱与山	双园路8号,山海路69号	106.4687530,29.4884790
城投墨北璟苑	墨水湖北路城投墨北璟苑	114.2263730,30.5529810
雅荷紫金阳光	朱宏路与南二环交汇向南100米路东	108.9434940,34.2306780
广晟圣淘沙	进港大道金沙路今洲广场北侧400米	113.5459090,22.8052690
君悦天下	白塔辽阳市白塔区卫国路67号（仪表厂原址）查看地图	123.3513480,41.6579200
南都云庭	长江东路与琅琊山路交口处南50米	117.3128100,31.8674170
南宁宝能城市广场	龙岗大道9号（龙岗大道与龙华路交会处）	108.4673960,22.7828930
正商金域世家	白沙五路与青菱西路交汇处	114.2826560,30.4680890
五洲家园	湖心路1088号	113.3610018,22.1601613
香榭一品	人民西路148号	120.2863090,31.5762390
东方豪景	东方东路191号	120.0414300,31.7536740
西城枫景	城西马渚斗门，余马路以北	121.0883300,30.0560620
九洲华府	翠岩路169号	115.7320250,28.7215330
中海盛世城	高新北区宽达路和远达大街交会处东行300米	125.3919710,43.9601810
翠荷轩	芳村东教南路92号	113.2300790,23.0777750
复地御上海	三北大街西二环路口向西200米	121.4523180,30.1282030
隆昊昊博园	新站区物流大道与龙门岭路交口东南（生态公园西北100米）	117.3253560,31.9007570
彰泰新旺角	那洪大道37号	108.2740500,22.7600930
太仓都会之光花苑	弇山东路99号	121.1322940,31.4736240
兴隆苑	漓江路兴隆城市花园对面	106.6902730,26.5085910
汉口新界广场5號公馆	航空路26号（华中科技大学同济医学院旁）	114.2635800,30.5830760
龙城天悦	西二大道(熊猫国际西行500米)	114.4836840,22.7531120
万宏国际	联盟路与万宏路交汇处	102.7251380,25.0581240
南滨豪门	南岸西段88号（汽车保养中心旁）	106.5394830,29.5174160
旭辉滨江东方悦府	湘西路旭辉滨江东方悦府	120.2290230,30.1668440
剑桥郡3区睿峰	博爱一路剑桥郡	113.3495150,22.5121820
碧桂园ParkRoyal	东城中路与洞纵路交汇处	113.7751420,23.0403650
鹏润半山华府	中段(君豪大饭店后)	106.5272000,29.5593380
奥山国香樾里	王店梅里小学对面（花园路西侧）	121.4151550,31.1493020
城投熙和园	翠通路与光明道交口	117.0205170,39.3972680
合家春天	江宁诚信大道899号（诚信大道与前庄路交界）	118.8432260,31.9109920
嘉德新地	大良佛山市顺德区大良同晖路	113.2609720,22.8174850
汉街总部国际万达尊写字楼	武昌武昌区中北路171号周家大湾车站武汉中央文化区查看地图	114.3464060,30.5528080
金地名京	北二路与保工街交汇处（特变电工原址）	123.3658460,41.8107040
朝阳峰汇	抚生路998号	115.8710220,28.6440080
天澜国际	龙湖中山路南侧珠港新城总部园区查看地图	116.7158190,23.3573360
绿城西溪诚园	文一西路（浙大紫金港校区以南，绿城育华学校西侧）	120.0863380,30.2904060
眼明泉小区	汇泉路3869号	117.5172430,36.7184460
荣盛香堤荣府	蜀龙大道南段中央森林公园泥巴沱风景区	104.1638300,30.7836400
首创嘉陵十里	沙坪坝双碑大桥旁	106.4503720,29.6040460
潼南书院学府	潼南25车队对面书院坡50号	105.8194040,30.1798470
融创璟园	铁道北路与天运道交口	117.1694690,39.2299890
海逸北欧假日	中心路166号	119.8143750,31.4469500
万科新都会1958	杭氧街胜景路交叉口万科新都会1958	120.1835930,30.3016580
力腾乐荟	江岸发展大道与黑泥湖路交叉路口查看地图	114.3144280,30.6329750
云峰山庄	云峰路南首,云峰山下,中华月季园以南	119.9604790,37.1301180
精华悦荣府	东滨路精华悦荣府	104.5352700,30.4229200
大陆潮里	昭觉寺横路段11号	104.1041570,30.7000520
古顺正顺府	阳光路78号	114.6435330,38.1358270
蓝光雍锦半岛	晏婴路蓝光雍锦半岛	118.3479570,36.8205600
万科滨海大都会	洞庭路与上海道交口	117.6820370,39.0109310
盛世泽园	西七路与华福大道交叉口以西500米路南	118.0034480,36.7620660
桂和新城	潮阳城南街道南中路西片区	116.6021810,23.2497280
新城郡望府	郑上路织机路向南50米路西	113.4340130,34.7697770
元一滨水城	庐阳-北一环-颖上路33号	117.2706860,31.8835640
金隅南山郡观澜樾	南山向黄路隧道出口	106.5583780,29.4888780
若耶紫竹苑	平水副城北侧西湖桥（若耶溪以西，香炉峰以南）	120.6109440,29.9465600
海峡汽车文化广场	青口汽车新城·沈海高速兰圃出口	119.3842570,25.8926980
中奥美泉宫	长兴杨白线路1818号（湖州温泉高尔夫球场内）查看地图	121.7975010,31.0832570
景湖名都	黄州新港大道95号（珠明山菜场对面）查看地图	114.7977500,30.8467500
雀梅花园	吴中宝带西路北50米	120.6193320,31.2669610
先生的山	翠园路4号	119.4045260,26.2764470
佳兆业篆山熙园	107省道佳兆业篆山熙园	106.2369490,29.2589650
嘉烨-御花园	肖杆路嘉烨·御花园	118.8398000,31.9022650
天御盈品	魁奇一路1号	113.1046420,22.9944030
吴都阳光	鄂城吴都中学与实验小学中间查看地图	114.1583510,30.5022650
西苑小区	无影山中路西段	116.9740000,36.6829340
世纪晨光	袍江新区G329国道和鸿滨路交叉口	120.6243530,30.0615910
盘蠡花园	宝带西路388号	120.6113060,31.2664440
温州商城	新安镇南京路45号	118.3525500,34.3760100
大华铂璟湾	槐杨路东、茶花路北	121.0101160,31.9136130
美林湖-国际社区	清远花都山前大道168号查看地图	113.0430650,23.4664830
蓝光圣菲悦城	大件路与黄河中路二段交汇处（四川大学江安校区学生东园旁）	103.9993400,30.5574600
长虹世纪荣廷	天水路与铜陵北路交口	117.3385360,31.9063760
丰惠华丽家族	新沂市城南新区人民路98号	118.3346770,34.3421740
盛大晶座	东升东路2429号（百墅路口，市实验小学斜对面）	120.7287620,30.7762310
合景泰富瑧林	天府三街与富华南路交汇处	104.0401540,30.5466260
雅居乐万象郡	外环路3号	113.7673560,23.2755740
桃花源	山前旅游大道芙蓉度假区西入口直行400米	113.2400630,23.5082680
龙族峰景	东海开发区柳海村北600米	120.4248400,37.6987780
麒龙涟江生态城	惠水县城北新区贵惠大道新民中对面	106.7313540,26.5482030
万源城御璄	古龙路666弄	121.3912780,31.1489740
迪生山庄	松岭路46号	120.4802700,36.1021000
九龙仓苏州国际金融中心	翠园路与华池路交汇处（工业园区管委会西边）	120.7165930,31.3222310
中国铁建西派澜岸	天府一街1566号	104.0371830,30.5643240
龙田西路小区	广东省东莞市石龙镇龙田西路95号	113.8543890,23.0989050
德昆悦天地	温江政务中心旁查看地图	103.8551800,30.6838160
东方新城	惠阳区秋长镇（秋长镇政府南面）	114.4276640,22.7986030
东方雨林	城际铁路庙山新村站前行200米	114.3663840,30.4082000
印象剑桥	常乐路8号（十里明珠堤西侧）	120.1324520,31.4845610
碧桂园天玺	经开第一大街和经北二路交汇处	113.7397960,34.7259010
千山明月清泉	横山镇中苑路5号（天台山风景区旁）	108.1451060,30.2660050
交投祥生白鹤郡	渔里街与新达路交叉口	121.1224510,31.1679960
顶峯上一广场	相城渭塘镇澄阳路2568号（澄阳路与渭中路交叉口处）	120.6668510,31.4592910
万科-四季花城	鹤山路166号	120.4790210,36.3989300
华生中心	端州信安大道南侧(即新供电大楼对面)	112.5022180,23.0682440
正荣府	桂山路	119.3294690,26.1137920
昆明呈贡吾悦广场	祥和街与彩云中路交汇处	102.8265380,24.8883630
湘江学府	岳塘岳塘区双拥南路与书院路交汇处查看地图	112.9724800,28.1819630
名门国际	云岩黔灵西路与合群路交汇处（爱丽医院对面）	106.7078200,26.5862290
红枫林	民洁路25号	108.8783770,34.2459710
万科-时代之光	霸州市市政府向南约3公里，106国道与工业二路交界北侧	116.3275740,39.6041870
德馨园	建工路	109.0109530,34.2428300
建投熙湖	裕华道与光明路交叉口东侧	118.1326800,39.6218620
中宁别墅	普陀-真如-中宁路138弄	121.4143540,31.2487660
理想名家	郑上路三公路交叉口向北150米	113.4147760,34.7730420
置信芙蓉青城	青城前山山门南侧约800米	103.6228400,30.9744320
国信国际公馆	裕民路国信国际公馆二期	118.0239110,36.8669770
多安公寓	蜀山-大学城-金寨南路	117.2222930,31.7765150
南徐水岸名邸	南徐庄（新黄路顺馨路交叉口）	117.0258880,36.7096660
达安圣芭芭花园	松江明中路1177弄	121.3352020,31.0758680
红点公寓	章贡赣州市东江源大道与客家大道交汇处查看地图	114.9022430,25.8349740
融创昆仑江山府	沈营大街50号	123.4371390,41.7170370
大源欢乐颂商铺	成都市高新区天府三街1599号、同源街200号	104.0375680,30.5460260
金地兰亭大境	长江路地铁6号线老关村站东侧	114.2202850,30.4848240
龙翔国际观邸	高新北区中科大街与明斯克路交会	125.4123830,43.9674640
中国健康谷健康新天地	蔡甸汉阳大道同济健康谷站查看地图	114.1124790,30.5364140
建工新城	信息产业基地林溪路	102.8355800,24.9486160
鸿威-翡翠城	怀来京藏高速东花园出口南约4公里查看地图	116.2298160,40.1969800
水岸名邸	碧海路与横山路交汇处	120.7076480,30.5422010
海鸿银居	虎门解放路23号	113.6654140,22.8181160
中海吴滨巷项目	吴桥路与葡萄棚路交汇处往东100米	120.6579280,27.9949530
城口碧桂园-观澜府	城口县滨河南路重师大附中东侧	108.6764030,31.9376240
当代拾光里ΜΟΜΛ	贵阳・观山西・清镇新一中旁	106.5150986,26.5820465
会昌锦绣学府	月亮湾新区第四中学东侧・农贸市场旁	115.8087950,25.5769580
银泰中心	天府大道北段1199号（高新国际广场旁）	104.0702740,30.5852190
力高荣华-君樾	迎宾大道与天工一路交汇东北角	109.2179510,34.6402550
仕府-万乐城	汉滨安康市汉滨区安康大道董家沟路十字东南角查看地图	109.2506650,34.3739930
招商愉樾	鹦鹉大道西大街小学旁（地铁6号线马鹦路B出口处）	114.2677210,30.5381170
铜梁茂田铜梁印象	铜合路与学府大道交汇处(重庆艺术工程职业学院旁)	106.0643820,29.8573450
新城尚隽天骄	钱资湖大道与华阳南路交汇处（东北方向）	119.5965530,31.7288100
云锦世家	中北镇星光路西侧	117.0734130,39.1104680
万科公园里	彩云北路与云福路交汇处	102.7735290,24.9264190
海伦小镇	军山街小军村	114.1616310,30.4139800
新湖青蓝国际	青云路350弄	121.6104120,31.2082510
旺东盛园	104国道党家庄与重汽路交叉口路北西行20米77号	116.9181880,36.5823830
大鼎第一时间	九龙坡谢家湾正街7号（袁家岗五洲女子医院旁）	106.5145320,29.5269810
保利江锦	临江大道御铁机路交汇处	114.3419600,30.6072050
江铃澜庭	火炬六路（花卉市场北侧）	115.9640100,28.7210300
祥生-郡悦	二环西路与港南路交叉口向东200米	120.0719280,30.8504820
天鹅湖1号	广源道南侧天鹅湖温泉度假村西侧	117.0663690,39.4057390
洛卡小镇	友谊南路与外环线交口以南200米（梅江会展中心以南500米）	117.2141370,39.0399690
泺河小区	明湖东路以北，菜市庄街以东	117.0356270,36.6789680
中建-森林观澜	郑州航空港区华夏大道太湖路交汇处	113.8449570,34.5847760
唐山万达广场	路南新华道抗震纪念碑广场东面	118.1826510,39.6244030
大足财信龙水湖	龙水湖国际旅游度假区（温泉中心旁）	105.7993740,29.5390880
金茂府	永昌街道办事处大悦城旁	102.7125910,25.0232640
圣世金鼎城	前进大街与南四环交会南行800米（惠民嘉苑后侧）	125.2913840,43.8060190
保利和悦华锦	金泉路西	113.2752040,23.1796500
钱塘大观	闻涛路钱塘大观	120.1324300,30.1801140
城建栖湖院	城东新区凤凰湖南侧（马兰转盘旁）	108.8320680,23.2148990
碧桂园-豪园	重庆市长寿区阳鹤山片区（碧桂园凤凰酒店河对岸）	107.0961130,29.8613970
沈阳国际设计谷	浑南浑南区全运五路35号（沈本大街与全运五路交汇处）查看地图	123.4902930,41.6822640
月城熙庭	邗江区润扬路与江阳路交汇处	119.4245300,32.3771100
盛湖悦景	新坡路289号	108.4720620,22.7695820
绿地超级城市	海潮东路与屏淮路交叉口	119.4607310,32.7796990
碧桂园-北站华府	滁州汊河新区104国道旁	118.6367510,32.1706410
黔灵半山	云岩贵阳市市北路关刀岩123号	106.7031710,26.6051130
清镇一号大院	金马大道与花园路交汇处	106.4880870,26.5717640
黄家圩	鼓楼鼓楼区小市黄家圩	118.7953150,32.0928840
肇庆宝能城	肇庆新区实验学校旁	112.7282460,23.3278220
瑞诚翡翠郡	玫苑路瑞诚翡翠郡	116.4218900,36.2704840
金石繁花郡	湖州安吉县宏城万华公馆西南60米清政路西	119.6702820,30.6473310
金沙花园	沙头村建安路与靖海中路交汇处（猫山公园旁）	113.7643880,22.7708820
金辉长安云筑	靖宁路与西部大道十字	108.9179550,34.1657570
荣盛锦绣学府	浑河十五街西50米	123.2242400,41.7391300
旭辉悦庭	大家浜路8号（浒关大润发往北300米）	120.5018430,31.3707500
悦融华	亦庄永清高新区，恒山北路与台中路交汇处	116.5221020,39.8186530
云岭别院	重庆市南川区三泉镇金佛山北坡银杏皇后旁	107.2021010,29.0626790
盛邦珑湖	玉洞大道28号	108.3581780,22.7368540
阳光城金融街官邸	金融街万达广场北侧150米	119.3426300,26.0530990
鸿笙苑宝贝的墅	茶园天文大道水云路99号（南岸区府旁）	106.6418450,29.5180770
越秀星汇金沙	开发区杭州大街3号（北京中路与杭州大街交汇处）	121.1560550,37.5895770
卡纳湖谷	环湖南路288号	121.6334160,29.7432510
交大康桥新都汇	三原县三原县清河食品工业园内	108.9382650,34.6289480
济州古城-香樟园	金宇路与济安桥路交汇处西北	116.5650430,35.4310490
山河城-伴山星河	惠水路618号	120.4638000,36.1617360
温哥华森林	北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东,枫树家园6区,枫树家园五区	116.4133480,40.1333000
蓝光雍锦半岛	海兴路33号	121.5130890,37.4382700
银宏小区	休门街与槐北路交叉口北行100米路西	114.5066080,38.0316830
宏信-汉北尚都	汉口北大道269号（四季美农贸城东100米）	114.3506230,30.7174180
中海上东区	邗江北城路与太平路交会处查看地图	118.7938240,32.0399520
金地国际商住楼	隆平大道和东佳大道交汇处	115.7590940,29.3169680
嵛景华城	秦淮河路188号	121.2129530,37.5661460
新城璟汇	马池中路与环湖中路交汇处	114.2254220,30.6576610
椰海润景	海南省海口市红旗镇红旗大道381号	110.5194840,19.8146350
鲁勤时代-拾光里	解放路37号	117.0602860,36.6666040
春江名筑	青春路10号	120.9213340,31.7320980
永兴郦江	宝龙广场南侧，闽江北岸（碧水芳洲旁）	119.2926490,26.0522140
华夏-非凡	容桂桂洲大道以北文塔公园旁	113.2737810,22.7590790
和达中心城	哈尔滨路88号	120.3915080,36.1092560
金禹阳光	春郊路与建阳街交会处	125.2887390,43.8902750
禄德嘉苑	宝山-杨行-竹韵路259弄	121.4414480,31.3663410
绿地运河小镇	贾汪区大吴商城北，206国道西	117.3944330,34.3257530
蓝光晶曜雅苑	秀园路与成秀路交汇处（上海世外教育附属嘉兴秀湖实学校北面）	120.6762340,30.7827480
蓝城玉园	人民路蓝城玉园	116.6052870,34.6947320
新榕金江首府	海峡汽车文化广场的东南面	119.3714440,25.9170240
青竹湖太阳星城	青竹湖大道699号(植基中学东北角)	112.9774180,28.3486940
姚江湾	丽江西路	121.5276390,29.9109860
佳兆业云顶梅溪湖	梅溪湖路与环湖路交汇处东南角（岳麓山桃花岭公园正门北侧）	112.8918080,28.1765510
正祥贵里香园	五一广场·地铁2号线水部站旁	119.3155150,26.0746120
合肥雅郡	卧龙湖路与龙子湖路交口	117.3578110,31.9384130
外滩叁号	长白四街229号	123.4088690,41.7451400
宏河学府颐景西区	彭更路宏河学府颐景西区	117.0558810,35.4178040
新城-九里香畔	扬中港东南路与环城南路交汇处查看地图	118.8436190,32.3387570
金隅中铁诺德都会森林	艮山西路与钱潮路交汇处	120.2120300,30.2775330
悦珑湖	昆山市锦溪镇江浦路和学苑路交汇处	120.9195540,31.1790680
五矿名品	长虹东路与阜盛大街交汇处	116.1922330,39.7224150
贵安国宾府	贵安新区中心区?贵安大道旁，平安广场对面	106.4723530,26.4271240
杏林湾商务运营中心	集美杏林湾园博苑北岸查看地图	118.0624690,24.5944580
帝华凯旋城	郑上路与西绕城豫龙站交汇处东北角	113.4120520,34.7742360
新华园	武林广场北，湖墅南路与叶青兜路交汇处	120.1533110,30.2820850
领势公馆	蜀山区合作化南路西侧天鹅花园内	117.2494870,31.8484230
香山湖一号	象山路19号（象山路与森林大道之间）	118.6196130,32.0763070
新城和兴府	丰收路新城和兴府	117.3913390,38.9869550
陶溪谷	张店区北京路与淄河大道交会处	118.0041790,36.7536600
正太广场	禺山大道正太广场	113.3560920,22.9414120
碧桂园中远天汇	文苑路碧桂园中远天汇	119.9274320,31.0378250
文象府	安昌镇环镇南路和盐仓路交叉口西南	120.4898040,30.1369780
肇庆恒大翡翠华庭	肇庆市端州区端州一路蓝塘公交站	112.5176770,23.0876660
天福几江大院	几江街道丁香街62号（几江派出所旁）	106.2582700,29.2741890
金科海成博翠江岸小区	江南新区南滨大道2789号	108.4074050,30.7920950
绿洲湾8号	大东公路绿洲湾8号	116.9427270,39.4821720
北大资源山水年华	珊瑚北路与九峰二路交汇处	114.5361430,30.4971770
城建文苑	双山北路城建文苑	117.5612270,36.6858720
怀德峰景	福永街道	113.8227550,22.6714040
南浦花园	宝安沙井上南酒店高速路	113.8435610,22.7193930
招商樾园	佛山市三水区西南街道建设大道7号招商越园	112.8620750,23.1676710
新城春天里	人民路与星火路交汇	119.9688400,31.7084850
颐盛御中环	康杉路359弄	121.5577620,31.1510050
中骏四季阳光	龙岗街道	114.2728210,22.7197420
小康城天保家园	北市区烟草一号路盘龙江旁	102.7138960,25.0697980
浦岸花园	金淞路北侧、远国路西侧	121.5562560,31.2235670
荣盛山湖樾	明珠大道与文曲路交口	117.1382780,31.8058590
恒大帝景	顺德大良街道东乐路与云阳路交汇处	113.2881970,22.8343580
东海闲湖城	天目山西路277号	119.9873780,30.2284130
之江花园	滨江区北环路	120.1497120,30.1902540
康城府邸	新沂市新安街道市府东路与黄沭路交汇处	118.3740400,34.3719740
富马庄园	肥东-肥东县城-店忠路	117.4715010,31.8430630
东原桐麓	渝南大道123号	106.5513140,29.4325950
大发融悦东方	邳州市辽河东路与岠山路交汇处	118.0157840,34.3369690
江宇阳光海岸	枫林路11号枫林蓝岸销售中心（临时接待中心）	108.4131900,22.8179010
筑梦小镇	世纪大道1号	120.0336680,35.8503840
